O8G	CHEMBL1234900
IW1	CHEMBL1233690
TFS	CHEMBL1236265
A93	CHEMBL1213031
717	CHEMBL1230528
LGV	CHEMBL1222855
NSA	CHEMBL1234834
JT5	CHEMBL1233772
6ZP	CHEMBL1214124
IW2	CHEMBL1233691
8VC	CHEMBL1208799
NAD	CHEMBL1234613
PIQ	CHEMBL1213271
8HI	CHEMBL1206225
PDU	CHEMBL1235210
C0Y	CHEMBL1231552
59R	CHEMBL1230380
AR5	CHEMBL1229088
3NV	CHEMBL1230170
GF4	CHEMBL1213368
ZZX	CHEMBL1237018
SX1	CHEMBL1236103
3PA	CHEMBL1230184
BIT	CHEMBL1231358
J75	CHEMBL1233727
C4Z	CHEMBL1206429
SHF	CHEMBL1235931
O75	CHEMBL1234898
A5D	CHEMBL1230729
D72	CHEMBL1232083
EHB	CHEMBL1232500
ET1	CHEMBL1232583
TRE	CHEMBL1236395
FMB	CHEMBL1232777
MNG	CHEMBL1234391
C2F	CHEMBL1231574
3BR	CHEMBL1230095
DGI	CHEMBL1232205
NBS	CHEMBL1234640
3NW	CHEMBL1230171
3OE	CHEMBL1269196
DII	CHEMBL1232236
XDK	CHEMBL1236798
N1P	CHEMBL1449933
8DQ	CHEMBL1363184
N1Y	CHEMBL1391421
54Q	CHEMBL1276314
L4T	CHEMBL1241348
2TA	CHEMBL1287853
NT7	CHEMBL1605695
84G	CHEMBL426926
33C	CHEMBL1956162
REC	CHEMBL1235646
5MA	CHEMBL1939501
42L	CHEMBL1944829
VIQ	CHEMBL1951105
N21	CHEMBL1928360
G65	CHEMBL1908391
18F	CHEMBL1922082
0EU	CHEMBL1910404
SX8	CHEMBL1236107
PB0	CHEMBL1915990
07N	CHEMBL1923440
Y55	CHEMBL1928097
Z85	CHEMBL1738944
0CK	CHEMBL1951415
03U	CHEMBL1929435
F41	CHEMBL1921970
NXV	CHEMBL1910966
J1A	CHEMBL1928284
J1C	CHEMBL1928285
KLI	CHEMBL1933568
F63	CHEMBL1921971
3NE	CHEMBL1230164
SIS	CHEMBL221886
VSO	CHEMBL1236690
13M	CHEMBL1956149
COM	CHEMBL1098319
664	CHEMBL1933582
0JQ	CHEMBL1956250
OEV	CHEMBL1234952
E2I	CHEMBL2011154
0OX	CHEMBL2030350
9FN	CHEMBL2059070
C7L	CHEMBL2041756
E59	CHEMBL2010988
07S	CHEMBL2011328
O22	CHEMBL2089254
HYV	CHEMBL2097992
BXD	CHEMBL2048051
SW4	CHEMBL2024087
88S	CHEMBL2059004
BK7	CHEMBL2030554
5U7	CHEMBL2058204
HCK	CHEMBL2087023
4K4	CHEMBL2012582
0QY	CHEMBL2086796
D1M	CHEMBL2041078
2VL	CHEMBL2057915
13K	CHEMBL2017978
0Q5	CHEMBL2030861
CUQ	CHEMBL2094324
7PQ	CHEMBL2035656
YSD	CHEMBL2058272
88W	CHEMBL2059006
0JB	CHEMBL2031556
THZ	CHEMBL2089125
88R	CHEMBL2059003
8O0	CHEMBL2071359
9XW	CHEMBL2105747
VD1	CHEMBL2104955
79O	CHEMBL2035603
YS5	CHEMBL2058274
2RC	CHEMBL2103830
E50	CHEMBL2010999
IT5	CHEMBL2027833
0HV	CHEMBL2023820
0RB	CHEMBL2089311
WUL	CHEMBL2030376
MUX	CHEMBL2074784
ID3	CHEMBL559945
D32	CHEMBL524063
4FS	CHEMBL80298
HVK	CHEMBL21619
